date,true_mag,true_dir,pred_online_mag,pred_online_dir,pred_lstm_mag,correct_online_dir,rolling_acc_online
2024-05-08,0.0027254065959896323,1,0.0003160520448124898,1,0.0005293169524520636,1,1.0
2024-05-09,0.0028012152372987043,1,0.0008283850190358694,1,0.000195750268176198,1,1.0
2024-05-10,0.002631667872869725,1,0.001185152948457468,1,-0.0002586811315268278,1,1.0
2024-05-13,0.0028496549540930616,1,0.0014805488575020084,1,-0.0002380611840635538,1,1.0
2024-05-14,0.003965379815756176,1,0.001758906896889725,1,-0.00033976970007643104,1,1.0
2024-05-15,0.003999609329172982,1,0.0023591817265273657,1,-0.0003459660802036524,1,1.0
2024-05-16,0.005479244926554161,1,0.0028351800589152282,1,-0.00038996111834421754,1,1.0
2024-05-17,0.00663893750014366,1,0.003860376214980218,1,-0.0003401407157070935,1,1.0
2024-05-20,0.005987234227184057,1,0.005215288354517553,1,-0.0003262542886659503,1,1.0
2024-05-21,0.005096985489550621,1,0.005582135827850981,1,-0.00038012309232726693,1,1.0
2024-05-22,0.003722101946352474,1,0.00540254519106496,1,-0.0004058744525536895,1,1.0
2024-05-23,0.0036430333530457215,1,0.0046023299800863424,1,-0.00032586074667051435,1,1.0
2024-05-24,0.003762178291464302,1,0.004226081699947959,1,-0.00017411273438483477,1,1.0
2024-05-26,0.004895447249230411,1,0.003958524830680904,1,-0.00019358901772648096,1,1.0
2024-05-27,0.005063428638962586,1,0.004311688599757172,1,-0.00023944966960698366,1,1.0
2024-05-28,0.0051455312459498526,1,0.004663085153472464,1,0.0005908015882596374,1,1.0
2024-05-29,0.004187351135058526,1,0.0049136053404726454,1,0.0008113867370411754,1,1.0
2024-05-30,0.0028356759562795375,1,0.004588260395409104,1,0.001611031242646277,1,1.0
2024-05-31,0.003123744885266566,1,0.003855409209106932,1,0.0022582421079277992,1,1.0
2024-06-03,0.0017260190032888367,1,0.0036069616878769287,1,0.0028359848074615,1,1.0
2024-06-04,0.0021728327907193368,1,0.0027815575988267677,1,0.003106924705207348,1,1.0
2024-06-05,0.003532877697276282,1,0.00252469642706546,1,0.002808955032378435,1,1.0
2024-06-06,0.0012892282596845828,1,0.0029331381026284453,1,0.0030357823707163334,1,1.0
2024-06-07,0.0017233406636236737,1,0.0022467654081400144,1,0.002322765998542309,1,1.0
2024-06-10,0.0009635611386542564,1,0.0020996616423110035,1,0.0016565759433433414,1,1.0
2024-06-11,0.0020629203224145076,1,0.0016758373288053318,1,0.0009584830841049552,1,1.0
2024-06-12,0.0006815861322755357,1,0.0018834249964249795,1,0.0004775727866217494,1,1.0
2024-06-13,0.0011070837561326652,1,0.0013796331843634873,1,0.0001679612323641777,1,1.0
2024-06-14,0.0009823213526531926,1,0.0013279238909557705,1,0.00015963532496243715,1,1.0
2024-06-17,0.0011375544064944343,1,0.0012150726769533382,1,0.00028645782731473446,1,1.0
2024-06-18,0.001212595625277535,1,0.0012285808999636509,1,-0.00018106051720678806,1,1.0
2024-06-19,0.0024309900707759624,1,0.0012034164820703933,1,-0.00028398167341947556,1,1.0
2024-06-20,0.0010475537110492539,1,0.001685786347767901,1,-0.00022034032735973597,1,1.0
2024-06-21,0.0009156580707831985,1,0.0014663899865313705,1,-0.0002978866104967892,1,1.0
2024-06-24,0.00017781919370540855,1,0.0012756024151841896,1,-0.00032351259142160416,1,1.0
2024-06-25,0.00024018238944778503,1,0.0009251748863159845,1,-0.0002415836788713932,1,1.0
2024-06-26,0.0004105163441645576,1,0.0006831783255009152,1,-0.000312583870254457,1,1.0
2024-06-27,0.0007251451221041982,1,0.0006083871892275518,1,-0.0004295065882615745,1,1.0
2024-06-28,0.0007591324919582476,1,0.0006383914882226941,1,-0.00039411388570442796,1,1.0
2024-07-01,0.000783362351806538,1,0.000684181214756,1,-0.0004355644923634827,1,1.0
2024-07-02,0.0020312950959073817,1,0.000711592528994784,1,-0.0004993862239643931,1,1.0
2024-07-03,0.0017580784540993655,1,0.0012430904779801308,1,-0.00040605664253234863,1,1.0
2024-07-04,0.002813166881561857,1,0.001372237843154693,1,-0.00038259767461568117,1,1.0
2024-07-05,0.0018891677269901042,1,0.001981854886304089,1,-0.0003477131831459701,1,1.0
2024-07-08,0.001979352546295665,1,0.0018968966721904436,1,-0.00037566013634204865,1,1.0
2024-07-09,0.0018692693109432224,1,0.0019163888494136455,1,-0.00042530731298029423,1,1.0
2024-07-10,0.0025053884452164166,1,0.0019076189772963576,1,-0.00045984680764377117,1,1.0
2024-07-11,0.0018821702571938381,1,0.002146742230367248,1,-0.000522038375493139,1,1.0
2024-07-12,0.001581213843846463,1,0.0020124061457548184,1,-0.0005282843485474586,1,1.0
2024-07-15,0.0020806049088075707,1,0.0018409593791374492,1,-0.0005536548560485244,1,1.0
2024-07-16,0.0008729134409080075,1,0.0019638396912743925,1,-0.0005761797074228525,1,1.0
2024-07-17,0.0006839726787168932,1,0.0015072473061069703,1,-0.0005695524159818888,1,1.0
2024-07-18,-0.00031066538821111767,0,0.0012174781858952282,1,-0.0005868421285413206,0,0.98
2024-07-19,-0.0002779426067879287,0,0.0006232699823350272,0,-0.000533282058313489,1,0.98
2024-07-22,-0.00025884205034876206,0,0.00033636905049848245,0,-0.0005474950885400176,1,0.98
2024-07-23,-0.000266640132342566,0,0.0001095547680526234,0,-0.0006916325655765831,1,0.98
2024-07-24,-0.0016704170694340492,0,-2.1026352970748236e-05,0,-0.0006896757986396551,1,0.98
2024-07-25,-0.0015736683243758876,0,-0.0006822577275368682,0,-0.0006817835383117199,1,0.98
2024-07-26,-0.001689770130699042,0,-0.0009670952233143302,0,-0.0006525323260575533,1,0.98
2024-07-29,-0.0007733083102456906,0,-0.001216271643362189,0,-0.0006032023229636252,1,0.98
2024-07-30,-0.00033893240105520306,0,-0.001014224607562626,0,-0.0005823890678584576,1,0.98
2024-07-31,-0.0008221470184389679,0,-0.0006943790390111115,0,-0.0005737058236263692,1,0.98
2024-08-01,-0.000885209387276098,0,-0.0007584229085716406,0,-0.0005452972836792469,1,0.98
2024-08-02,-0.0021169424443876483,0,-0.0007786298390789438,0,-0.00048799399519339204,1,0.98
2024-08-05,-0.002052209902968838,0,-0.001315373429564626,0,-0.00046053342521190643,1,0.98
2024-08-06,-0.002282260793078472,0,-0.0015719465006069043,0,-0.00041648541809991,1,0.98
