date,true_mag,true_dir,pred_online_mag,pred_online_dir,pred_lstm_mag,correct_online_dir,rolling_acc_online
2023-01-05,0.002647208482531749,1,0.0006662664326777773,0,0.0015434900997206569,0,0.0
2023-01-06,0.002402494902248087,1,0.0008874650101835221,1,0.0016270475462079048,1,0.5
2023-01-09,0.0020329550983440026,1,0.0008870798047403137,1,0.0016297162510454655,1,0.6666666666666666
2023-01-10,0.0017122809901006786,1,0.0008035857912734478,1,0.0017145570600405335,1,0.75
2023-01-11,0.002409423175418146,1,0.0007860718228795261,1,0.00174459267873317,1,0.8
2023-01-12,0.002844744742214189,1,0.0008692466350216347,1,0.0018355862703174353,1,0.8333333333333334
2023-01-13,0.00234714978688233,1,0.0011761084547434822,1,0.0018452780786901712,1,0.8571428571428571
2023-01-17,0.0016913465949142115,1,0.0011092217413473352,1,0.0017333822324872017,1,0.875
2023-01-18,0.0019478249554274463,1,0.0010003813855744294,1,0.001638743095099926,1,0.8888888888888888
2023-01-19,0.0019891420794750925,1,0.0010278676185178635,1,0.0015468888450413942,1,0.9
2023-01-20,0.0013991473087286987,1,0.0010494192113346486,1,0.0014230255037546158,1,0.9090909090909091
2023-01-23,0.0016265431679249875,1,0.0009332968927603931,1,0.0014098688261583447,1,0.9166666666666666
2023-01-24,0.0018360737168865437,1,0.0009065745050482647,1,0.0013538702623918653,1,0.9230769230769231
2023-01-25,0.0019012594097342905,1,0.0009395163246046088,1,0.0012732085306197405,1,0.9285714285714286
2023-01-26,0.001283422201443285,1,0.0009583607286225686,1,0.0011233366094529629,1,0.9333333333333333
2023-01-27,0.0014042248621419784,1,0.0009055255338897343,1,0.0009921472519636154,1,0.9375
2023-01-30,0.0015001157955101263,1,0.0008916509229145937,1,0.000844937632791698,1,0.9411764705882353
2023-01-31,0.001139842966671134,1,0.0009378960778357513,1,0.0007780955638736486,1,0.9444444444444444
2023-02-01,0.0011209200394082242,1,0.0007665676807385927,1,0.0007449043332599103,1,0.9473684210526315
2023-02-02,-0.000557655945413682,0,0.0007594375258432137,1,0.0007461769273504615,0,0.9
2023-02-03,-0.0007556083458141183,0,0.00025837480523264116,0,0.0004758262075483799,1,0.9047619047619048
2023-02-06,-0.0008148729689668732,0,-0.00010890860238937827,0,0.0003254286712035537,1,0.9090909090909091
2023-02-07,-0.0004472423542680737,0,-0.0002154305518760445,0,0.00032470078440383077,1,0.9130434782608695
2023-02-08,-0.0008040243583774531,0,-0.00036376827559788554,0,0.0003277075302321464,1,0.9166666666666666
2023-02-09,-0.0008661457528759131,0,-0.0005001280907146038,0,0.000331356655806303,1,0.92
2023-02-10,-0.001136815033234484,0,-0.0007834060621272677,0,0.0003346587473060936,1,0.9230769230769231
2023-02-13,-0.0010696589162972892,0,-0.0008720605963635241,0,0.00033486197935417295,1,0.9259259259259259
2023-02-14,-0.0014452387879985151,0,-0.0009488278968269768,0,0.00033475892269052565,1,0.9285714285714286
2023-02-15,-0.0012118970212026126,0,-0.001093586246987841,0,0.00033351770252920687,1,0.9310344827586207
2023-02-16,-0.0011617864839151837,0,-0.0011688375660086135,0,0.00033367585274390876,1,0.9333333333333333
2023-02-17,-0.0008849334280123244,0,-0.0012781404965049306,0,0.00033381886896677315,1,0.9354838709677419
2023-02-21,-0.0011460379373193774,0,-0.001270215848678191,0,0.0003328974999021739,1,0.9375
2023-02-22,-0.0016132529176420274,0,-0.0012924958473849012,0,0.0003310160827822983,1,0.9393939393939394
2023-02-23,-0.002249804598326244,0,-0.0014679967333270402,0,0.0003293121117167175,1,0.9411764705882353
2023-02-24,-0.0023738720581092387,0,-0.0017223378735490616,0,0.00032704256591387093,1,0.9428571428571428
2023-02-27,-0.001899696833906006,0,-0.0019190918608301727,0,0.00029000744689255953,1,0.9444444444444444
2023-02-28,-0.0018468638015957106,0,-0.001901581504894312,0,9.557319572195411e-05,1,0.9459459459459459
2023-03-01,-0.0020628074479625003,0,-0.001956537195485552,0,3.581747296266258e-05,1,0.9473684210526315
2023-03-02,-0.0015441182161533007,0,-0.0021172835084599826,0,-0.0001823605562094599,1,0.9487179487179487
2023-03-03,-0.001651477405379076,0,-0.0019822584540808894,0,-0.0004152335168328136,1,0.95
2023-03-06,-0.0029112057821326642,0,-0.0019323012967901259,0,-0.0006021596491336823,1,0.9512195121951219
2023-03-07,-0.0028979703202014484,0,-0.002271644471085793,0,-0.0007716767722740769,1,0.9523809523809523
2023-03-08,-0.002787622075113516,0,-0.002420927999404376,0,-0.0010251147905364633,1,0.9534883720930233
2023-03-09,-0.002211702129527926,0,-0.002502114925268102,0,-0.0012473127571865916,1,0.9545454545454546
2023-03-10,-0.000130805445050175,0,-0.002472013942464396,0,-0.0012079410953447223,1,0.9555555555555556
2023-03-13,6.670825667032254e-05,1,-0.0017389428351971428,0,-0.0009722855174914002,0,0.9347826086956522
2023-03-14,-0.00015584222206854736,0,-0.0013585492036467977,1,-0.0008388895075768232,0,0.9148936170212766
2023-03-15,-0.0004156198637104147,0,-0.0011915329063265944,0,-0.000759219634346664,1,0.9166666666666666
2023-03-16,0.0006830461668876353,1,-0.0010400232161979286,0,-0.0006450196960940957,0,0.8979591836734694
2023-03-17,0.0009201792782045359,1,-0.0006258477510173382,0,-0.00029548522434197366,0,0.88
2023-03-20,0.0005937443499302031,1,-0.00022067748760522737,1,-0.00010319668217562139,1,0.9
2023-03-21,0.0010733661588606669,1,-0.00029327846754338943,1,-0.00013263316941447556,1,0.9
2023-03-22,0.0017041394367371954,1,-3.561954044993979e-05,1,-0.00044053749297745526,1,0.9
