fold,n_train,n_test,acc,f1,auc
1,398,398,0.6030150753768844,0.639269406392694,0.8805506337740221
2,796,398,0.8366834170854272,0.8789571694599627,0.9082917557614636
3,1194,398,0.8442211055276382,0.7919463087248322,0.9328103588108623
4,1592,398,0.8417085427135679,0.8639308855291576,0.9299109899156205
5,1990,398,0.8793969849246231,0.9207920792079208,0.9173741895646804
